preset,M_mid,E_exact,E_0
4,9,0.04415749147704641,0.0030018335899082696
4,10,0.02039222392883005,0.0023416405832323694
4,11,0.0065295289894962815,0.0017091111370605427
4,12,0.0010306677494554496,0.0012662856239015995
4,13,4.173261850769333e-5,0.0010027816225699115
4,14,1.3242927175487346e-7,0.0008198132034251672
4,15,4.673270161544076e-12,0.0006651697799074641
4,16,6.453610154795531e-20,0.0005291185122971104
4,17,1.0191765472726592e-33,0.0004135286947801099
4,18,6.97889675775458e-58,0.0003192164631718703
4,19,4.0211723262586807e-100,0.00024448527390210154
4,20,6.885773876460651e-174,0.00018636025824049916
4,21,1.2045493930308988e-302,0.0001416551579442538
4,22,0.0,0.00010749768635369322
4,23,0.0,8.149922226473013e-5
4,24,0.0,6.17547097136037e-5
4,25,0.0,4.6778897667860514e-5
4,26,0.0,3.54283851477975e-5
4,27,0.0,2.6829196430205005e-5
4,28,0.0,2.031599610656279e-5
4,29,0.0,1.5383450213827473e-5
4,30,0.0,1.164825522764773e-5
4,31,0.0,8.819889232992999e-6
4,32,0.0,6.678248710739663e-6
4,33,0.0,5.056621472884719e-6
4,34,0.0,3.82875327355817e-6
4,35,0.0,2.8990372270235748e-6
4,36,0.0,2.19507772435609e-6
4,37,0.0,1.6620567014981349e-6
4,38,0.0,1.2584665438347024e-6
4,39,0.0,9.528783409487358e-7
4,40,0.0,7.214947703853414e-7
4,41,0.0,5.462971253430558e-7
4,42,0.0,4.136420229398612e-7
4,43,0.0,3.1319899345951455e-7
4,44,0.0,2.3714616283956463e-7
4,45,0.0,1.7956096129192143e-7
4,46,0.0,1.359589591649471e-7
4,47,0.0,1.0294464162896251e-7
4,48,0.0,7.794701009155655e-8
4,49,0.0,5.901954811536362e-8
4,50,0.0,4.468785485709906e-8
4,51,0.0,3.383636884914999e-8
4,52,0.0,2.5620402906904667e-8
4,53,0.0,1.939932805988077e-8
4,54,0.0,1.4687812377769599e-8
4,55,0.0,1.1120372351001688e-8
4,56,0.0,8.422189675148702e-9
4,57,0.0,6.376191308247133e-9
4,58,0.0,4.827334792156275e-9
4,59,0.0,3.662586847157748e-9
