preset,Taylor_Q,E_thin_k,E_direct_k,error
<<<<<<< HEAD
4,8,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,9,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,10,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,11,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,12,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,13,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,14,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
4,15,1.3473537301224054,1.3473537301223975,5.9328189758861356e-15
5,1,1.7845564990946254,1.7882045106254583,0.0020400415663624893
5,2,1.7883618238145578,1.7882045106254583,8.797270567474569e-5
5,3,1.788198059511122,1.7882045106254583,3.607593146057268e-6
5,4,1.7882047267884533,1.7882045106254583,1.2088270316666092e-7
5,5,1.7882045046393733,1.7882045106254583,3.34753934769901e-9
5,6,1.7882045107662246,1.7882045106254583,7.87193448393733e-11
5,7,1.7882045106226045,1.7882045106254583,1.5958562041085339e-12
5,8,1.7882045106255295,1.7882045106254583,3.9859153557332667e-14
5,9,1.7882045106254774,1.7882045106254583,1.0678776342462957e-14
5,10,1.7882045106254782,1.7882045106254583,1.117546361420542e-14
5,11,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,12,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,13,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,14,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
5,15,1.7882045106254778,1.7882045106254583,1.0927119978334188e-14
6,1,2.4510575370942034,2.4536074656243723,0.0010392569169657318
6,2,2.4537421717928294,2.4536074656243723,5.4901271024150044e-5
6,3,2.4536023429768434,2.4536074656243723,2.0878023891767205e-6
6,4,2.453607622650578,2.4536074656243723,6.399809587144608e-8
6,5,2.4536074615553822,2.4536074656243723,1.6583704161355984e-9
6,6,2.453607465716499,2.4536074656243723,3.754746917073051e-11
6,7,2.453607465622536,2.4536074656243723,7.484118419336165e-13
6,8,2.4536074656244447,2.4536074656243723,2.950208711854401e-14
6,9,2.4536074656244065,2.4536074656243723,1.3936568761520789e-14
6,10,2.4536074656244105,2.4536074656243723,1.556551835702322e-14
6,11,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,12,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,13,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,14,2.45360746562441,2.4536074656243723,1.538452395752295e-14
6,15,2.45360746562441,2.4536074656243723,1.538452395752295e-14
>>>>>>> main
