Rz,M_mid,energy_exact,energy_ffct,error,error_rel
13,7,31.39401300686976,31.393956967237642,5.60396321169776e-5,1.9123340930184205e-7
17,7,31.39401300686976,31.394013427452904,4.20583145199771e-7,1.435226208900775e-9
21,7,31.39401300686976,31.394012981806238,2.506352103637255e-8,8.552844470657922e-11
25,7,31.39401300686976,31.394013006762126,1.0763301361293998e-10,3.672941339741292e-13
29,7,31.39401300686976,31.394013006869187,5.719869022868806e-13,1.951886571489134e-15
33,7,31.39401300686976,31.394013006869585,1.7408297026122455e-13,5.940524348010408e-16
37,7,31.39401300686976,31.394013006869592,1.6697754290362354e-13,5.698053966458963e-16
41,7,31.39401300686976,31.39401300686956,1.9895196601282805e-13,6.789170683440467e-16
45,7,31.39401300686976,31.39401300686939,3.694822225952521e-13,1.2608459840675152e-15
49,7,31.39401300686976,31.39401300686955,2.0961010704922955e-13,7.152876255767634e-16
53,7,31.39401300686976,31.394013006869443,3.161915174132446e-13,1.0789931979039313e-15
57,7,31.39401300686976,31.39401300686944,3.197442310920451e-13,1.0911167169815035e-15
61,7,31.39401300686976,31.394013006869375,3.836930773104541e-13,1.3093400603778043e-15
1,9,13.414095784168726,6.581507268592468,6.8325885155762585,0.023315984542204203
5,9,13.414095784168726,13.190474441825751,0.22362134234297493,0.0007631005071488656
9,9,13.414095784168726,13.415512223480508,0.0014164393117823693,4.8335527630852365e-6
13,9,13.414095784168726,13.414097888054675,2.1038859490118966e-6,7.179441898761086e-9
17,9,13.414095784168726,13.414095773971988,1.0196737676437806e-8,3.47960333777957e-11
21,9,13.414095784168726,13.41409578401424,1.5448620160896098e-10,5.271791035691522e-13
25,9,13.414095784168726,13.41409578416906,3.339550858072471e-13,1.1396107932917926e-15
29,9,13.414095784168726,13.414095784168843,1.1723955140041653e-13,4.0007612955988463e-16
33,9,13.414095784168726,13.414095784168865,1.3855583347321954e-13,4.728172440253182e-16
37,9,13.414095784168726,13.414095784168858,1.3145040611561853e-13,4.485702058701737e-16
41,9,13.414095784168726,13.414095784168827,1.0125233984581428e-13,3.455202937108095e-16
45,9,13.414095784168726,13.414095784168776,4.973799150320701e-14,1.6972926708601167e-16
49,9,13.414095784168726,13.414095784168838,1.1191048088221578e-13,3.8189085094352623e-16
53,9,13.414095784168726,13.414095784168783,5.684341886080802e-14,1.9397630524115618e-16
57,9,13.414095784168726,13.414095784168795,6.927791673660977e-14,2.364086220126591e-16
61,9,13.414095784168726,13.414095784168769,4.263256414560601e-14,1.4548222893086714e-16
