N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
3,8,2.8931765584617835,-1.4322173106146707,4.325393869076454,0.20853637631183358
6,8,2.8931765584617835,2.8795852658206575,0.013591292641125907,0.0006552649313712681
9,8,2.8931765584617835,2.891775757046124,0.0014008014156594584,6.753559560033367e-5
12,8,2.8931765584617835,2.8931445872650112,3.197119677222915e-5,1.5413989391576056e-6
15,8,2.8931765584617835,2.8931760273346203,5.31127163139189e-7,2.5606762601131526e-8
18,8,2.8931765584617835,2.893176562485799,4.024015343162546e-9,1.9400628088130863e-10
21,8,2.8931765584617835,2.893176558564922,1.0313838672004749e-10,4.972519515278176e-12
24,8,2.8931765584617835,2.8931765584634084,1.6249224188413791e-12,7.834094264469658e-14
27,8,2.8931765584617835,2.8931765584618065,2.3092638912203256e-14,1.1133449077683034e-15
30,8,2.8931765584617835,2.893176558461793,9.325873406851315e-15,4.496200589064302e-16
33,8,2.8931765584617835,2.8931765584617937,1.021405182655144e-14,4.924410168975188e-16
36,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
39,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
42,8,2.8931765584617835,2.893176558461792,8.43769498715119e-15,4.067991009153416e-16
45,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
48,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
51,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
54,8,2.8931765584617835,2.8931765584617923,8.881784197001252e-15,4.282095799108859e-16
57,8,2.8931765584617835,2.893176558461792,8.43769498715119e-15,4.067991009153416e-16
60,8,2.8931765584617835,2.8931765584617932,9.769962616701378e-15,4.710305379019745e-16
3,12,0.3652504586188102,-0.20201152473804476,0.567261983356855,0.027348898622718987
6,12,0.3652504586188102,0.36526915040645513,1.8691787644908864e-5,9.011705708760966e-7
9,12,0.3652504586188102,0.36524921714069986,1.241478110369787e-6,5.985428246382015e-8
12,12,0.3652504586188102,0.3652504345405493,2.4078260940640916e-8,1.1608638279972708e-9
15,12,0.3652504586188102,0.3652504587146533,9.584305571408436e-11,4.620796195268997e-12
18,12,0.3652504586188102,0.3652504586191505,3.402833570476105e-13,1.6405779530335816e-14
21,12,0.3652504586188102,0.3652504586188146,4.385380947269368e-15,2.114284800809999e-16
24,12,0.3652504586188102,0.3652504586188144,4.163336342344337e-15,2.0072324058322776e-16
27,12,0.3652504586188102,0.36525045861881433,4.107825191113079e-15,1.9804693070878474e-16
30,12,0.3652504586188102,0.3652504586188141,3.885780586188048e-15,1.873416912110126e-16
33,12,0.3652504586188102,0.3652504586188141,3.885780586188048e-15,1.873416912110126e-16
36,12,0.3652504586188102,0.36525045861881417,3.941291737419306e-15,1.9001800108545561e-16
39,12,0.3652504586188102,0.36525045861881417,3.941291737419306e-15,1.9001800108545561e-16
42,12,0.3652504586188102,0.3652504586188142,3.9968028886505635e-15,1.9269431095989866e-16
45,12,0.3652504586188102,0.3652504586188143,4.052314039881821e-15,1.953706208343417e-16
48,12,0.3652504586188102,0.3652504586188142,3.9968028886505635e-15,1.9269431095989866e-16
51,12,0.3652504586188102,0.3652504586188142,3.9968028886505635e-15,1.9269431095989866e-16
54,12,0.3652504586188102,0.3652504586188141,3.885780586188048e-15,1.873416912110126e-16
57,12,0.3652504586188102,0.36525045861881417,3.941291737419306e-15,1.9001800108545561e-16
60,12,0.3652504586188102,0.3652504586188142,3.9968028886505635e-15,1.9269431095989866e-16
3,18,8.431587743447072e-6,-5.779966875412326e-6,1.4211554618859399e-5,6.85169071691366e-7
6,18,8.431587743447072e-6,8.431605154603289e-6,1.7411156216329098e-11,8.394286242255612e-13
