uspara,energy_exact,error,error_rel
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
3,1.388441506,0,0
4,1.545355793,1.265761394,0.819074416
4,1.545355793,0.989162345,0.640087124
4,1.545355793,0.809553318,0.523862092
4,1.545355793,0.637676872,0.412640814
4,1.545355793,0.497306479,0.321807108
4,1.545355793,0.389862303,0.252279964
4,1.545355793,0.295839057,0.191437505
4,1.545355793,0.228018117,0.147550563
4,1.545355793,0.170079211,0.110058287
4,1.545355793,0.126380288,0.081780706
4,1.545355793,0.092982869,0.060169231
4,1.545355793,0.06653836,0.043056985
4,1.545355793,0.047054344,0.030448874
4,1.545355793,0.033104993,0.021422247
4,1.545355793,0.022713286,0.014697771
4,1.545355793,0.015345366,0.009929989
4,1.545355793,0.01002493,0.006487134
4,1.545355793,0.006578531,0.004256969
4,1.545355793,0.004186358,0.002708993
4,1.545355793,0.002626671,0.001699719
4,1.545355793,0.001637223,0.001059447
4,1.545355793,0.000998096,0.000645868
4,1.545355793,0.000598933,0.00038757
4,1.545355793,0.000348928,0.000225791
4,1.545355793,0.000200949,0.000130034
4,1.545355793,0.000114817,7.43E-05
4,1.545355793,6.29E-05,4.07E-05
4,1.545355793,3.46E-05,2.24E-05
4,1.545355793,1.85E-05,1.20E-05
4,1.545355793,9.69E-06,6.27E-06
4,1.545355793,4.95E-06,3.21E-06
4,1.545355793,2.51E-06,1.63E-06
4,1.545355793,1.26E-06,8.15E-07
4,1.545355793,6.09E-07,3.94E-07
4,1.545355793,2.97E-07,1.92E-07
4,1.545355793,1.36E-07,8.83E-08
4,1.545355793,6.27E-08,4.06E-08
4,1.545355793,2.74E-08,1.77E-08
4,1.545355793,1.20E-08,7.75E-09
4,1.545355793,5.17E-09,3.34E-09
4,1.545355793,2.18E-09,1.41E-09
4,1.545355793,8.91E-10,5.76E-10
4,1.545355793,3.65E-10,2.36E-10
4,1.545355793,1.44E-10,9.35E-11
4,1.545355793,5.66E-11,3.67E-11
4,1.545355793,2.12E-11,1.37E-11
4,1.545355793,8.04E-12,5.21E-12
4,1.545355793,2.91E-12,1.88E-12
4,1.545355793,1.04E-12,6.75E-13
4,1.545355793,3.61E-13,2.33E-13
4,1.545355793,1.27E-13,8.22E-14
4,1.545355793,4.13E-14,2.67E-14
4,1.545355793,1.31E-14,8.48E-15
4,1.545355793,3.11E-15,2.01E-15
4,1.545355793,4.44E-16,2.87E-16
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,2.22E-16,1.44E-16
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
4,1.545355793,0,0
5,1.919252045,1.633620837,0.85117577
5,1.919252045,1.344808444,0.700694027
5,1.919252045,1.148516788,0.598418947
5,1.919252045,0.954803378,0.497487227
5,1.919252045,0.790097695,0.411669586
5,1.919252045,0.657004742,0.342323325
5,1.919252045,0.535194943,0.278855997
5,1.919252045,0.440545153,0.22954002
5,1.919252045,0.354547546,0.184732145
5,1.919252045,0.285283487,0.148643055
5,1.919252045,0.227976203,0.118783879
5,1.919252045,0.179224443,0.093382442
5,1.919252045,0.139882815,0.072884025
5,1.919252045,0.108764602,0.056670307
5,1.919252045,0.083250565,0.043376567
5,1.919252045,0.06319317,0.032925936
5,1.919252045,0.04711822,0.024550303
5,1.919252045,0.035180752,0.018330449
5,1.919252045,0.025870017,0.013479218
5,1.919252045,0.018853478,0.009823347
5,1.919252045,0.013693444,0.007134781
5,1.919252045,0.009838482,0.005126206
5,1.919252045,0.007006887,0.003650843
5,1.919252045,0.004918926,0.002562939
5,1.919252045,0.003432137,0.001788268
5,1.919252045,0.002379428,0.001239768
5,1.919252045,0.001616286,0.000842144
5,1.919252045,0.00109986,0.000573067
5,1.919252045,0.000737316,0.000384168
5,1.919252045,0.000489236,0.000254909
5,1.919252045,0.000321626,0.000167579
5,1.919252045,0.000209667,0.000109244
5,1.919252045,0.000135648,7.07E-05
5,1.919252045,8.61E-05,4.49E-05
5,1.919252045,5.47E-05,2.85E-05
5,1.919252045,3.37E-05,1.76E-05
5,1.919252045,2.08E-05,1.08E-05
5,1.919252045,1.25E-05,6.50E-06
5,1.919252045,7.48E-06,3.90E-06
5,1.919252045,4.44E-06,2.31E-06
5,1.919252045,2.60E-06,1.35E-06
5,1.919252045,1.50E-06,7.81E-07
5,1.919252045,8.61E-07,4.49E-07
5,1.919252045,4.87E-07,2.54E-07
5,1.919252045,2.73E-07,1.42E-07
5,1.919252045,1.50E-07,7.81E-08
5,1.919252045,8.24E-08,4.29E-08
5,1.919252045,4.42E-08,2.30E-08
5,1.919252045,2.35E-08,1.23E-08
5,1.919252045,1.24E-08,6.44E-09
5,1.919252045,6.49E-09,3.38E-09
5,1.919252045,3.32E-09,1.73E-09
5,1.919252045,1.70E-09,8.86E-10
5,1.919252045,8.55E-10,4.46E-10
5,1.919252045,4.27E-10,2.22E-10
5,1.919252045,2.08E-10,1.08E-10
5,1.919252045,1.02E-10,5.31E-11
5,1.919252045,4.81E-11,2.50E-11
5,1.919252045,2.28E-11,1.19E-11
5,1.919252045,1.06E-11,5.54E-12
5,1.919252045,4.84E-12,2.52E-12
5,1.919252045,2.21E-12,1.15E-12
5,1.919252045,9.82E-13,5.12E-13
5,1.919252045,4.33E-13,2.25E-13
5,1.919252045,1.89E-13,9.87E-14
5,1.919252045,8.10E-14,4.22E-14
5,1.919252045,3.29E-14,1.71E-14
5,1.919252045,1.27E-14,6.59E-15
5,1.919252045,4.44E-15,2.31E-15
5,1.919252045,1.11E-15,5.78E-16
5,1.919252045,4.44E-16,2.31E-16
5,1.919252045,2.22E-16,1.16E-16
5,1.919252045,2.22E-16,1.16E-16
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
5,1.919252045,0,0
6,2.427811298,2.136937047,0.88019075
6,2.427811298,1.837426649,0.756824326
6,2.427811298,1.625752574,0.669637124
6,2.427811298,1.411961526,0.581577953
6,2.427811298,1.224419762,0.504330696
6,2.427811298,1.066062595,0.439104388
6,2.427811298,0.916227211,0.377388149
6,2.427811298,0.792978315,0.326622714
6,2.427811298,0.675803912,0.278359324
6,2.427811298,0.576579442,0.237489398
6,2.427811298,0.489592675,0.201660102
6,2.427811298,0.411679162,0.169568023
