N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
30,8,6.425600633548369e-29,6.425600633548378e-29,8.96831017167883e-44,1.3957154643030337e-15
3,9,3.7826614804294273e-75,-4.511961262291452e-74,4.8902274103343945e-74,12.928007001512677
6,9,3.7826614804294273e-75,3.7826614598185027e-75,2.061092464137508e-83,5.4487890994240435e-9
9,9,3.7826614804294273e-75,3.782661480429676e-75,2.4889103869059474e-88,6.579786216088767e-14
12,9,3.7826614804294273e-75,3.7826614804294303e-75,2.945456079178636e-90,7.786729249809191e-16
15,9,3.7826614804294273e-75,3.7826614804294283e-75,9.818186930595453e-91,2.595576416603064e-16
18,9,3.7826614804294273e-75,3.782661480429429e-75,1.472728039589318e-90,3.8933646249045954e-16
21,9,3.7826614804294273e-75,3.78266148042943e-75,2.4545467326488633e-90,6.488941041507659e-16
24,9,3.7826614804294273e-75,3.7826614804294307e-75,3.4363654257084086e-90,9.084517458110724e-16
27,9,3.7826614804294273e-75,3.78266148042943e-75,2.4545467326488633e-90,6.488941041507659e-16
30,9,3.7826614804294273e-75,3.7826614804294303e-75,2.945456079178636e-90,7.786729249809191e-16
3,10,2.6950250659196897e-198,-3.323740536834963e-197,3.593243043426932e-197,13.33287429814951
6,10,2.6950250659196897e-198,2.695025065097494e-198,8.221957396294521e-208,3.0507906958886636e-10
9,10,2.6950250659196897e-198,2.69502506591969e-198,3.713069465420234e-214,1.3777495105238037e-16
12,10,2.6950250659196897e-198,2.695025065919688e-198,1.856534732710117e-213,6.888747552619018e-16
15,10,2.6950250659196897e-198,2.6950250659196867e-198,2.9704555723361872e-213,1.102199608419043e-15
18,10,2.6950250659196897e-198,2.6950250659196882e-198,1.4852277861680936e-213,5.510998042095215e-16
21,10,2.6950250659196897e-198,2.6950250659196886e-198,1.1139208396260702e-213,4.133248531571411e-16
24,10,2.6950250659196897e-198,2.695025065919689e-198,7.426138930840468e-214,2.7554990210476075e-16
27,10,2.6950250659196897e-198,2.6950250659196882e-198,1.4852277861680936e-213,5.510998042095215e-16
30,10,2.6950250659196897e-198,2.6950250659196882e-198,1.4852277861680936e-213,5.510998042095215e-16
