preset,M_mid,total,near,error_rel
2,111,0.0,2.4962697635959375e-22,2.0060344281197662e-24
2,116,0.0,2.1710198761408482e-23,1.744659443135331e-25
2,121,0.0,1.8881482167252558e-24,1.517340146237859e-26
2,126,0.0,1.6421331409733215e-25,1.3196392731223057e-27
2,131,0.0,1.428172443665323e-26,1.1476977100253484e-28
2,136,0.0,1.242089619868479e-27,9.981591639667358e-30
2,141,0.0,1.0802523397144028e-28,8.681046480338613e-31
2,146,0.0,9.395015454536481e-30,7.549955028645738e-32
2,151,0.0,8.170897867651993e-31,6.566238421102575e-33
2,156,0.0,7.106275906268817e-32,5.710694545752115e-34
2,161,0.0,6.180368188903704e-33,4.966623217651513e-35
2,166,0.0,5.3751010310082625e-34,4.3195001918750856e-36
2,171,0.0,4.6747556473118934e-35,3.7566936507880167e-37
2,176,0.0,4.065661321713908e-36,3.2672176314327115e-38
2,181,0.0,3.535928555407178e-37,2.8415175799352193e-39
2,186,0.0,3.075216984299329e-38,2.471283846965528e-40
2,191,0.0,2.6745335354870437e-39,2.149289483689126e-41
2,196,0.0,2.3260568828040195e-40,1.8692491719917742e-42
2,201,0.0,2.0229847748214672e-41,1.6256965353007654e-43
2,206,0.0,1.7594012551516515e-42,1.4138774351162783e-44
2,211,0.0,1.5301611831964324e-43,1.2296571704024287e-45
2,216,0.0,1.3307898011925308e-44,1.0694397683755291e-46
2,221,0.0,1.1573953871045745e-45,9.300977912476123e-48
2,226,0.0,1.0065932883544488e-46,8.089112887561148e-49
2,231,0.0,8.75439853527483e-48,7.035147048348098e-50
2,236,0.0,7.61374972405286e-49,6.118507020465464e-51
2,241,0.0,6.621721027085551e-50,5.321300024322344e-52
2,246,0.0,5.758948080737021e-51,4.627964608709134e-53
3,1,56.39051439150078,59.26667894080949,0.017466953441246182
3,6,7.630266385863426,8.197366626920603,0.0034440009732565513
3,11,1.1023063025182347,1.124352256691378,0.00013388512670552645
3,16,0.15133379313353879,0.15421563254003204,1.7501416861029284e-5
3,21,0.02075723703953315,0.021152142563963142,2.3982620919820087e-6
3,26,0.0028470536690988375,0.0029012177749809893,3.289387305248808e-7
3,31,0.00039050050271337023,0.0003979296448173443,4.511719583975332e-8
3,36,5.356142281967951e-5,5.4579840089871935e-5,6.184850253608641e-9
3,41,7.340762000773888e-6,7.486144807340312e-6,8.829100943003354e-10
3,46,1.0080090733382437e-6,1.0267960474817369e-6,1.1409333403583017e-10
3,51,3.745070282923929e-9,1.4083485562426877e-7,8.325465587159237e-10
3,56,0.0,1.9316841555197896e-8,1.1731121995703165e-10
3,61,0.0,2.6494887647992667e-9,1.6090350918544183e-11
3,66,0.0,3.6340261396970774e-10,2.206944849578123e-12
3,71,0.0,4.984412902389521e-11,3.0270350185252805e-13
3,76,0.0,6.8365969386169115e-12,4.1518667786962726e-14
3,81,0.0,9.377043719371306e-13,5.6946806503875164e-15
3,86,0.0,1.2861508394378727e-13,7.810796790566287e-16
3,91,0.0,1.764078350588751e-14,1.0713251584944964e-16
3,96,0.0,2.4196014429971424e-15,1.469424472301528e-17
3,101,0.0,3.318713786720512e-16,2.0154555903764824e-18
3,106,0.0,4.551931984519554e-17,2.7643892648781963e-19
3,111,0.0,6.243408176566041e-18,3.791623117007885e-20
3,116,0.0,8.563428845548484e-19,5.200572164015124e-21
3,121,0.0,1.1745558118083401e-19,7.133079949800648e-22
3,126,0.0,1.6110151435074912e-20,9.783698401939917e-23
3,131,0.0,2.209660678971632e-21,1.3419274015398916e-23
3,136,0.0,3.030760037154593e-22,1.8405812168602294e-24
3,141,0.0,4.15697599646302e-23,2.5245324091088363e-25
3,146,0.0,5.701688429082387e-24,3.4626365988417084e-26
3,151,0.0,7.820408626365117e-25,4.7493358264592724e-27
3,156,0.0,1.0726435133034072e-25,6.5141663436566965e-28
3,161,0.0,1.471232721462945e-26,8.934799454783523e-29
3,166,0.0,2.0179357762926518e-27,1.2254928272584546e-29
3,171,0.0,2.7677910760391643e-28,1.6808801106978557e-30
3,176,0.0,3.796289024953989e-29,2.3054871343964918e-31
3,181,0.0,5.20697190107654e-30,3.1621951458876345e-32
3,186,0.0,7.141857798598269e-31,4.3372517640584865e-33
3,191,0.0,9.795738057440402e-32,5.9489538111816045e-34
3,196,0.0,1.343578754939944e-32,8.159556643872868e-35
3,201,0.0,1.842846205299319e-33,1.1191608934571228e-35
3,206,0.0,2.527639056437533e-34,1.535035737982423e-36
3,211,0.0,3.4668976614849564e-35,2.105447689120489e-37
3,216,0.0,4.755180279635976e-36,2.8878219978442043e-38
3,221,0.0,6.522182567729686e-37,3.960922864208979e-39
3,226,0.0,8.94579446944796e-38,5.432782888947063e-40
3,231,0.0,1.2270008982202433e-38,7.451579071416975e-41
3,236,0.0,1.682948573628611e-39,1.0220550276460353e-41
3,241,0.0,2.308324228276416e-40,1.4018457960722545e-42
3,246,0.0,3.166086490307498e-41,1.9227650007177594e-43
4,1,47.12914251592535,49.002167778247966,0.010189433248859257
4,6,9.85501294299483,12.176412062628748,0.012628629121712448
4,11,2.9315220175293315,3.030447543232018,0.0005381641460115113
4,16,0.739468725183807,0.7541987969534975,8.013297314636797e-5
4,21,0.1841857836766329,0.1877000471584993,1.9117923227035298e-5
4,26,0.045841282680342293,0.046713552504440176,4.745229723499961e-6
4,31,0.011408712730593013,0.011625761477600024,1.1807655581932819e-6
4,36,0.002839325887948591,0.002893342994688619,2.938581312787527e-7
4,41,0.0007066327290609512,0.0007200761602494925,7.313352760731813e-8
4,46,0.00017586201290158802,0.00017920781515047432,1.8201478306082842e-8
4,51,4.376720090816667e-5,4.460006147110696e-5,4.530839643435455e-9
4,56,1.089312939970635e-5,1.1099769736918166e-5,1.124142831864753e-9
4,61,2.708153948339366e-6,2.7624376323431412e-6,2.953083366172815e-10
4,66,6.606538045970493e-7,6.874972953001425e-7,1.4603110923681237e-10
4,71,2.930517496387974e-7,1.7109980167917705e-7,6.634300445910793e-10
4,76,0.0,4.258219244611456e-8,2.3165112411870362e-10
4,81,0.0,1.0597575775791246e-8,5.7651807020077184e-11
4,86,0.0,2.6374549047882253e-9,1.434800226126753e-11
4,91,0.0,6.563924167149384e-10,3.5708363628158445e-12
4,96,0.0,1.6335862423227462e-10,8.88686250379864e-13
4,101,0.0,4.065561915632387e-11,2.2117038457383776e-13
4,106,0.0,1.0118102896324176e-11,5.504342954741576e-14
4,111,0.0,2.5181268504842683e-12,1.3698846444469478e-14
4,116,0.0,6.266948359887901e-13,3.409278735938745e-15
4,121,0.0,1.559676858135693e-13,8.484788515909971e-16
4,126,0.0,3.881621105056355e-14,2.1116383181233677e-16
4,131,0.0,9.660323114128224e-15,5.255306456025119e-17
4,136,0.0,2.4041976314431334e-15,1.3079060798292563e-17
4,141,0.0,5.983408818472117e-16,3.2550305638086107e-18
4,146,0.0,1.4891114033533265e-16,8.100905817879135e-19
4,151,0.0,3.70600244588211e-17,2.0161001189913844e-19
4,156,0.0,9.2232549545689e-18,5.017537274444031e-20
4,161,0.0,2.295422984717789e-18,1.2487316509375845e-20
4,166,0.0,5.712697637356911e-19,3.107761140102454e-21
4,171,0.0,1.4217385864451538e-19,7.734391369578438e-22
4,176,0.0,3.5383294137062296e-20,1.924884415532512e-22
4,181,0.0,8.805961348494529e-21,4.790525635583487e-23
4,186,0.0,2.191569698705686e-21,1.1922344884709768e-23
4,191,0.0,5.454234414855882e-22,2.9671547208546136e-24
4,196,0.0,1.3574139608595685e-22,7.384459368207869e-25
4,201,0.0,3.378242519459245e-23,1.8377956423184174e-25
4,206,0.0,8.407547623169918e-24,4.5737848290772027e-26
4,211,0.0,2.0924151131454655e-24,1.1382934631571308e-26
4,216,0.0,5.20746500876641e-25,2.832909847505104e-27
4,221,0.0,1.295999615332626e-25,7.050359563545771e-28
4,226,0.0,3.2253985386647516e-26,1.7546470820120712e-28
