preset,M,error
4,1,0.5575196948708709
4,6,0.29450926125926147
4,11,0.07349785370081402
4,16,0.010502311533511437
4,21,0.0003279391005732877
4,26,5.34044222307055e-6
4,31,3.5885003129814694e-7
4,36,3.5408193042293844e-7
4,41,3.5415470719950994e-7
4,46,3.5415586381423177e-7
4,51,3.541558816502498e-7
4,56,3.541558819234709e-7
4,61,3.5415588192798895e-7
4,66,3.541558819279908e-7
4,71,3.5415588192799075e-7
4,76,3.5415588192799075e-7
4,81,3.541558819279908e-7
4,86,3.5415588192799075e-7
4,91,3.5415588192799075e-7
4,96,3.5415588192799075e-7
4,101,3.5415588192799075e-7
4,106,3.5415588192799075e-7
4,111,3.5415588192799075e-7
4,116,3.541558819279907e-7
4,121,3.541558819279908e-7
4,126,3.541558819279907e-7
4,131,3.5415588192799075e-7
4,136,3.5415588192799075e-7
4,141,3.541558819279907e-7
4,146,3.541558819279908e-7
4,151,3.5415588192799075e-7
4,156,3.541558819279907e-7
4,161,3.541558819279907e-7
4,166,3.541558819279907e-7
4,171,3.541558819279908e-7
4,176,3.541558819279907e-7
4,181,3.541558819279908e-7
4,186,3.5415588192799075e-7
4,191,3.541558819279908e-7
4,196,3.541558819279908e-7
4,201,3.541558819279908e-7
4,206,3.5415588192799075e-7
4,211,3.5415588192799075e-7
4,216,3.541558819279908e-7
4,221,3.5415588192799075e-7
4,226,3.5415588192799075e-7
4,231,3.541558819279908e-7
4,236,3.5415588192799075e-7
4,241,3.5415588192799075e-7
4,246,3.541558819279907e-7
5,1,0.5600137195152379
5,6,0.48374540165001007
5,11,0.2464437099679364
5,16,0.09151031465391263
5,21,0.027092781594538654
5,26,0.004721364765018919
5,31,0.0003464005640539423
5,36,1.8964866930777945e-5
5,41,9.906830719911744e-7
5,46,5.1421133129320564e-8
5,51,2.7092726478720383e-9
5,56,4.370124124671421e-10
5,61,4.1053022371246334e-10
5,66,4.102524307197858e-10
5,71,4.1024108040403345e-10
5,76,4.102405002586727e-10
5,81,4.1024046931840074e-10
5,86,4.102404676198491e-10
5,91,4.102404675717635e-10
5,96,4.102404675717636e-10
5,101,4.102404675717636e-10
5,106,4.1024046757176354e-10
5,111,4.102404675717635e-10
5,116,4.102404675717636e-10
5,121,4.1024046757176354e-10
5,126,4.1024046757176354e-10
5,131,4.1024046757176354e-10
5,136,4.1024046757176354e-10
5,141,4.1024046757176354e-10
5,146,4.102404675717635e-10
5,151,4.1024046757176354e-10
5,156,4.102404675717635e-10
5,161,4.1024046757176354e-10
5,166,4.102404675717636e-10
5,171,4.102404675717636e-10
5,176,4.1024046757176354e-10
5,181,4.1024046757176354e-10
5,186,4.1024046757176354e-10
5,191,4.1024046757176354e-10
5,196,4.1024046757176354e-10
5,201,4.1024046757176354e-10
5,206,4.102404675717635e-10
5,211,4.102404675717636e-10
5,216,4.102404675717635e-10
5,221,4.1024046757176354e-10
5,226,4.1024046757176354e-10
5,231,4.1024046757176354e-10
5,236,4.102404675717635e-10
5,241,4.102404675717636e-10
5,246,4.1024046757176354e-10
6,1,0.5600289365910113
6,6,0.5576324229890676
6,11,0.4717166848061888
6,16,0.30113459313516683
6,21,0.16052716427704344
6,26,0.07634556438658764
6,31,0.03246553860865054
6,36,0.011241467164992724
6,41,0.00247816948877535
6,46,0.000373449309157069
6,51,4.9043212925032536e-5
6,56,6.2028060835283074e-6
6,61,7.770062799804922e-7
6,66,9.709852161518195e-8
6,71,1.2126585078392934e-8
6,76,1.5142557346953492e-9
6,81,1.8908030103763108e-10
6,86,2.3610825756123195e-11
6,91,2.9495436508972556e-12
6,96,3.6987074578348373e-13
6,101,4.920606795867382e-14
6,106,1.4715806594299723e-14
6,111,1.2976415110582465e-14
6,116,1.2883049925938245e-14
6,121,1.2873361162858634e-14
6,126,1.2872365473583192e-14
6,131,1.2872349100187758e-14
6,136,1.2872349100187756e-14
6,141,1.2872349100187758e-14
6,146,1.2872349100187758e-14
6,151,1.2872349100187758e-14
6,156,1.2872349100187758e-14
6,161,1.287234910018776e-14
6,166,1.2872349100187756e-14
6,171,1.287234910018776e-14
6,176,1.287234910018776e-14
6,181,1.2872349100187756e-14
6,186,1.2872349100187756e-14
6,191,1.2872349100187758e-14
6,196,1.2872349100187758e-14
6,201,1.287234910018776e-14
6,206,1.2872349100187758e-14
6,211,1.287234910018776e-14
6,216,1.287234910018776e-14
6,221,1.2872349100187756e-14
6,226,1.287234910018776e-14
6,231,1.2872349100187756e-14
6,236,1.2872349100187758e-14
6,241,1.2872349100187758e-14
6,246,1.2872349100187758e-14
