n_atoms,energy_ewald,energy_fssog,error,error_rel
1000,28.099192784785828,28.09919278471932,6.650680006714538e-11,2.3668580295714104e-12
3164,-196.2637093377005,-196.2637093407575,3.0569822229153942e-9,1.557589140259959e-11
10000,-415.7294303593328,-415.72943040599785,4.666503627959173e-8,1.1224857532760463e-10
100,5.896505659165001,5.896505659165442,4.405364961712621e-13,7.471145143166811e-14
318,-2.076339386858109,-2.0763393868637365,5.6274984672199935e-12,2.7102979902218462e-12
1000,28.099192784785828,28.099192784726142,5.968558980384842e-11,2.1241033598717787e-12
3164,-196.2637093377005,-196.26370933768408,1.6427748050773516e-11,8.37024231642701e-14
10000,-415.7294303593328,-415.72943035946537,1.325588527834043e-10,3.18858476458662e-13
100,5.896505659165001,5.8965056591651575,1.5631940186722204e-13,2.6510515024140296e-14
318,-2.076339386858109,-2.0763393868663798,8.270717444247566e-12,3.983316743204835e-12
1000,28.099192784785828,28.099192784724664,6.116351869422942e-11,2.1767002049733656e-12
3164,-196.2637093377005,-196.2637093376884,1.2107648217352107e-11,6.169071326639976e-14
100,5.896505659165001,5.89650565916574,7.389644451905042e-13,1.253224346595723e-13
318,-2.076339386858109,-2.0763393868636513,5.5422333389287814e-12,2.669232869157879e-12
1000,28.099192784785828,28.099192784733646,5.218225851422176e-11,1.8570732232021837e-12
3164,-196.2637093377005,-196.26370933774365,4.3144154915353283e-11,2.1982747121688928e-13
100,5.896505659165001,5.8965056591651575,1.5631940186722204e-13,2.6510515024140296e-14
