N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
48,3,104.58856911741813,104.58856911741672,1.4068746168049984e-12,4.800913554718615e-15
51,3,104.58856911741813,104.58856911741722,9.094947017729282e-13,3.103620883858499e-15
54,3,104.58856911741813,104.58856911741692,1.2079226507921703e-12,4.121996486374569e-15
57,3,104.58856911741813,104.58856911741671,1.4210854715202004e-12,4.849407631028905e-15
60,3,104.58856911741813,104.58856911741707,1.0658141036401503e-12,3.637055723271678e-15
3,4,80.76978776974114,53.36572883778476,27.404058931956385,0.09351545362266837
6,4,80.76978776974114,76.1085135659216,4.661274203819545,0.01590644556385458
9,4,80.76978776974114,80.50215306604899,0.2676347036921527,0.000913294661315828
12,4,80.76978776974114,80.70974960288862,0.06003816685252161,0.00020487827813491676
15,4,80.76978776974114,80.76428842488747,0.00549934485367487,1.8766334209681183e-5
18,4,80.76978776974114,80.76952705025747,0.0002607194836770077,8.896966994875261e-7
21,4,80.76978776974114,80.76976401927432,2.3750466823457828e-5,8.104769020751897e-8
24,4,80.76978776974114,80.76978463770396,3.132037178943392e-6,1.0687974298960685e-8
27,4,80.76978776974114,80.76978787014741,1.004062681886353e-7,3.4263310188952375e-10
30,4,80.76978776974114,80.76978777577158,6.030433041814831e-9,2.05786552585764e-11
33,4,80.76978776974114,80.76978777002623,2.850839564416674e-10,9.728396648607086e-13
36,4,80.76978776974114,80.769787769742,8.526512829121202e-13,2.9096445786173426e-15
39,4,80.76978776974114,80.76978776974016,9.805489753489383e-13,3.3460912654099443e-15
42,4,80.76978776974114,80.76978776973979,1.3500311979441904e-12,4.60693724947746e-15
45,4,80.76978776974114,80.76978776973968,1.4637180356658064e-12,4.9948898599597715e-15
48,4,80.76978776974114,80.76978776973971,1.4352963262354024e-12,4.897901707339193e-15
51,4,80.76978776974114,80.76978776973988,1.2647660696529783e-12,4.315972791615725e-15
54,4,80.76978776974114,80.76978776973976,1.3784529073745944e-12,4.703925402098038e-15
57,4,80.76978776974114,80.76978776973976,1.3784529073745944e-12,4.703925402098038e-15
60,4,80.76978776974114,80.76978776973992,1.2221335055073723e-12,4.170490562684858e-15
3,5,60.897155401597864,42.372041269036984,18.52511413256088,0.06321634528007708
6,5,60.897155401597864,58.47166190496462,2.425493496633244,0.008276917122375238
9,5,60.897155401597864,60.85365118881232,0.043504212785542506,0.00014845670136816693
12,5,60.897155401597864,60.88325897838699,0.013896423210873365,4.7421089099395924e-5
15,5,60.897155401597864,60.89604113624093,0.0011142653569322647,3.8023940383529993e-6
18,5,60.897155401597864,60.89713498894663,2.0412651231538348e-5,6.965750381351818e-8
21,5,60.897155401597864,60.89715370503528,1.6965625846410148e-6,5.789464257681217e-9
24,5,60.897155401597864,60.897155221874655,1.7972320875969672e-7,6.132995639593274e-10
27,5,60.897155401597864,60.897155405816235,4.218371429942636e-9,1.4395054353060667e-11
30,5,60.897155401597864,60.89715540186822,2.703544055293605e-10,9.22575554765094e-13
33,5,60.897155401597864,60.897155401604934,7.069900220812997e-12,2.4125802964368802e-14
36,5,60.897155401597864,60.89715540159728,5.826450433232822e-13,1.9882571287218507e-15
39,5,60.897155401597864,60.897155401596876,9.876544027065393e-13,3.3703383035650886e-15
42,5,60.897155401597864,60.897155401597026,8.384404281969182e-13,2.8611505023070536e-15
45,5,60.897155401597864,60.89715540159674,1.1226575225009583e-12,3.8310320285128346e-15
48,5,60.897155401597864,60.897155401596805,1.0587086762825493e-12,3.6128086851165336e-15
51,5,60.897155401597864,60.89715540159713,7.318590178329032e-13,2.4974449299798857e-15
54,5,60.897155401597864,60.89715540159701,8.526512829121202e-13,2.9096445786173426e-15
57,5,60.897155401597864,60.8971554015969,9.663381206337363e-13,3.297597189099655e-15
60,5,60.897155401597864,60.897155401597196,6.679101716144942e-13,2.279221586583585e-15
3,6,44.552064576089734,32.599678658810056,11.952385917279678,0.04078712550220775
6,6,44.552064576089734,43.395447309560346,1.1566172665293877,0.003946918542828601
9,6,44.552064576089734,44.56125495338768,0.009190377297947805,3.136186154449005e-5
12,6,44.552064576089734,44.54958023410505,0.0024843419846831694,8.477735660558262e-6
15,6,44.552064576089734,44.551830273705825,0.0002343023839088687,7.995492116884827e-7
18,6,44.552064576089734,44.55205948937089,5.086718843472227e-6,1.735826146336202e-8
21,6,44.552064576089734,44.55206439623983,1.798499056349101e-7,6.137319128966719e-10
24,6,44.552064576089734,44.55206457124677,4.842966916385194e-9,1.652646599505049e-11
27,6,44.552064576089734,44.552064576111036,2.1302071218087804e-11,7.269262038912329e-14
30,6,44.552064576089734,44.5520645760962,6.465938895416912e-12,2.2064804721181517e-14
33,6,44.552064576089734,44.552064576089265,4.689582056016661e-13,1.6003045182395385e-15
36,6,44.552064576089734,44.552064576089315,4.192202140984591e-13,1.4305752511535268e-15
39,6,44.552064576089734,44.552064576089094,6.394884621840902e-13,2.182233433963007e-15
42,6,44.552064576089734,44.55206457608921,5.258016244624741e-13,1.794280823480695e-15
45,6,44.552064576089734,44.552064576089144,5.897504706808832e-13,2.0125041668769954e-15
48,6,44.552064576089734,44.552064576088966,7.673861546209082e-13,2.6186801207556086e-15
51,6,44.552064576089734,44.552064576089286,4.476419235288631e-13,1.527563403774105e-15
54,6,44.552064576089734,44.552064576089215,5.186961971048731e-13,1.7700337853255503e-15
57,6,44.552064576089734,44.552064576089215,5.186961971048731e-13,1.7700337853255503e-15
60,6,44.552064576089734,44.55206457608939,3.410605131648481e-13,1.163857831446937e-15
3,7,31.39401300686976,24.108691810919993,7.285321195949766,0.024860919986988427
6,7,31.39401300686976,30.90425102212967,0.48976198474008825,0.001671296733225863
9,7,31.39401300686976,31.404604148618837,0.010591141749078048,3.614192435895143e-5
12,7,31.39401300686976,31.393661788271476,0.00035121859828279867,1.198521964234766e-6
15,7,31.39401300686976,31.39396912995266,4.38769171005049e-5,1.497285426369138e-7
18,7,31.39401300686976,31.39401123846111,1.7684086479619054e-6,6.034636595805962e-9
21,7,31.39401300686976,31.394012981806302,2.506345708752633e-8,8.552822648323582e-11
24,7,31.39401300686976,31.394013006817563,5.219646936893696e-11,1.7811874228769165e-13
27,7,31.39401300686976,31.394013006866885,2.8741453661496053e-12,9.80792693375596e-15
30,7,31.39401300686976,31.394013006869535,2.2382096176443156e-13,7.637817018870525e-16
33,7,31.39401300686976,31.394013006869532,2.2737367544323206e-13,7.759052209646247e-16
36,7,31.39401300686976,31.394013006869535,2.2382096176443156e-13,7.637817018870525e-16
39,7,31.39401300686976,31.39401300686936,3.979039320256561e-13,1.3578341366880934e-15
42,7,31.39401300686976,31.394013006869564,1.9539925233402755e-13,6.667935492664744e-16
45,7,31.39401300686976,31.394013006869343,4.156675004196586e-13,1.4184517320759546e-15
48,7,31.39401300686976,31.394013006869386,3.730349362740526e-13,1.2729695031450874e-15
51,7,31.39401300686976,31.394013006869546,2.1316282072803006e-13,7.274111446543357e-16
54,7,31.39401300686976,31.39401300686962,1.3855583347321954e-13,4.728172440253182e-16
57,7,31.39401300686976,31.39401300686949,2.7000623958883807e-13,9.21387449895492e-16
